"排序","移动设备市场","使用量占比",
"1","iPhone 4S","21.72%",
"2","iPhone 5","17.88%",
"3","iPhone 5s","13.27%",
"4","iPhone 4","12.39%",
"5","iPad mini(WIFI)","6.13%",
"6","iPad 4(WIFI)","5.7%",
"7","iPad 2(WIFI)","4.47%",
"8","iPad Air(WIFI)","4.07%",
"9","iPhone 4(GSM)","3.45%",
"10","iPad 3(WIFI)","2.19%",
"11","iPad mini 2G(WIFI)","2.01%",
"12","iPhone 5c","1.58%",
"13","iPad 2(GSM)","1.17%",
"14","iPad 3(Global)","0.62%",
"15","iPad","0.58%",
"16","iPad mini(Global)","0.55%",
"17","iPad 4(Global)","0.54%",
"18","iPod Touch 4","0.45%",
"19","iPod Touch 5","0.44%",
"20","iPhone 3GS","0.29%",
"21","iPad Air(Cellular)","0.23%",
"22","iPad mini 2G(Cellular)","0.2%",
"23","iPad mini(GSM)","0.02%",
"24","iPod Touch 3","0.01%",
"25","iPad 4(GSM)","0.01%",
"26","iPad 3(CDMA)","0.01%",
"27","iPad 2(CDMA)","0.01%",
"28","iPhone 3G","0%",
"29","iPod Touch 2","0%",
"30","iPod Touch","0%",
"31","iPhone","0%",

"iPhone 4S移动设备2014.02.01~2014.04.30使用量占比"
时间,使用量占比
="2014.04.11","4.36%",
="2014.04.12","4.74%",
="2014.04.13","4.74%",
="2014.04.14","4.16%",
="2014.04.15","4.18%",
="2014.04.16","4.14%",
="2014.04.17","4.18%",
="2014.04.18","4.37%",
="2014.04.19","4.72%",
="2014.04.20","4.69%",
="2014.04.21","4.17%",
="2014.04.22","4.19%",
="2014.04.23","4.22%",
="2014.04.24","4.21%",
="2014.04.25","4.38%",
="2014.04.26","4.77%",
="2014.04.27","4.71%",
="2014.04.28","4.17%",
="2014.04.29","4.16%",
="2014.04.30","4.33%",

"iPad Air(WIFI)移动设备2014.02.01~2014.04.30使用量占比"
时间,使用量占比
="2014.02.01","2.89%",
="2014.02.02","2.90%",
="2014.02.03","2.95%",
="2014.02.04","2.96%",
="2014.02.05","2.98%",
="2014.02.06","3.11%",
="2014.02.07","3.09%",
="2014.02.08","3.10%",
="2014.02.09","3.26%",
="2014.02.10","3.16%",
="2014.02.11","3.23%",
="2014.02.12","3.28%",
="2014.02.13","3.38%",
="2014.02.14","3.34%",
="2014.02.15","3.61%",
="2014.02.16","3.72%",
="2014.02.17","3.59%",
="2014.02.18","3.59%",
="2014.02.19","3.60%",
="2014.02.20","3.63%",
="2014.02.21","3.67%",
="2014.02.22","3.88%",
="2014.02.23","3.95%",
="2014.02.24","3.77%",
="2014.02.25","3.79%",
="2014.02.26","3.81%",
="2014.02.27","3.80%",
="2014.02.28","3.81%",
="2014.03.01","4.00%",
="2014.03.02","4.07%",
="2014.03.03","3.81%",
="2014.03.04","3.82%",
="2014.03.05","3.81%",
="2014.03.06","3.88%",
="2014.03.07","3.88%",
="2014.03.08","4.07%",
="2014.03.09","4.13%",
="2014.03.10","3.96%",
="2014.03.11","3.96%",
="2014.03.12","4.03%",
="2014.03.13","3.97%",
="2014.03.14","3.96%",
="2014.03.15","4.12%",
="2014.03.16","4.16%",
="2014.03.17","4.02%",
="2014.03.18","4.01%",
="2014.03.19","4.05%",
="2014.03.20","4.06%",
="2014.03.21","4.18%",
="2014.03.22","4.39%",
="2014.03.23","4.46%",
="2014.03.24","4.21%",
="2014.03.25","4.26%",
="2014.03.26","4.24%",
="2014.03.27","4.24%",
="2014.03.28","4.29%",
="2014.03.29","4.52%",
="2014.03.30","4.54%",
="2014.03.31","4.27%",
="2014.04.01","4.21%",
="2014.04.02","4.26%",
="2014.04.03","4.27%",
="2014.04.04","4.40%",
="2014.04.05","4.52%",
="2014.04.06","4.56%",
="2014.04.07","4.59%",
="2014.04.08","4.41%",
="2014.04.09","4.42%",
="2014.04.10","4.46%",
="2014.04.11","4.50%",
="2014.04.12","4.67%",
="2014.04.13","4.73%",
="2014.04.14","4.41%",
="2014.04.15","4.45%",
="2014.04.16","4.42%",
="2014.04.17","4.46%",
="2014.04.18","4.59%",
="2014.04.19","4.75%",
="2014.04.20","4.80%",
="2014.04.21","4.53%",
="2014.04.22","4.56%",
